year,region,label,pathogen,specimen,antibiotic_label,antibiotic,TOT,AST,SUS,INT,RES,UNK,P_SUS,CI_SUS_lower,CI_SUS_upper,P_INT,CI_INT_lower,CI_INT_upper,P_RES,CI_RES_lower,CI_RES_upper,P_UNK,BatchID,AntibioticClass
2018,United Arab Emirates,ARE,Acinetobacter spp.,BLOOD,AMK,Amikacin,113,17,13,1,3,96,76.47,52.74,90.44,5.88,0.3,26.98,17.65,6.19,41.03,84.96,GLASS,Aminoglycosides
2018,United Arab Emirates,ARE,Acinetobacter spp.,BLOOD,COL,Colistin,113,22,21,0,1,91,95.45,78.2,99.77,0,0,14.87,4.55,0.23,21.8,80.53,GLASS,Polymyxins
2018,United Arab Emirates,ARE,Acinetobacter spp.,BLOOD,GEN,Gentamicin,113,103,55,2,46,10,53.4,43.82,62.74,1.94,0.53,6.81,44.66,35.42,54.28,8.85,GLASS,Aminoglycosides
2018,United Arab Emirates,ARE,Acinetobacter spp.,BLOOD,IPM,Imipenem,113,98,52,0,46,15,53.06,43.25,62.64,0,0,3.77,46.94,37.36,56.75,13.27,GLASS,Carbapenems
2018,United Arab Emirates,ARE,Acinetobacter spp.,BLOOD,MEM,Meropenem,113,99,52,1,46,14,52.53,42.78,62.08,1.01,0.05,5.5,46.46,36.96,56.24,12.39,GLASS,Carbapenems
2018,United Arab Emirates,ARE,Acinetobacter spp.,BLOOD,MNO,Minocycline,113,43,25,6,12,70,58.14,43.33,71.62,13.95,6.56,27.26,27.91,16.75,42.69,61.95,GLASS,Tetracyclines
2018,United Arab Emirates,ARE,E. coli,BLOOD,AMP,Ampicillin,909,787,179,8,600,122,22.74,19.95,25.8,1.02,0.52,1.99,76.24,73.14,79.08,13.42,GLASS,Penicillins
2018,United Arab Emirates,ARE,E. coli,BLOOD,CAZ,Ceftazidime,909,783,548,19,216,126,69.99,66.69,73.09,2.43,1.56,3.76,27.59,24.57,30.82,13.86,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,E. coli,BLOOD,CIP,Ciprofloxacin,909,791,312,48,431,118,39.44,36.1,42.89,6.07,4.61,7.95,54.49,51,57.93,12.98,GLASS,Fluoroquinolones
2018,United Arab Emirates,ARE,E. coli,BLOOD,COL,Colistin,909,19,19,0,0,890,100,83.18,100,0,0,16.82,0,0,16.82,97.91,GLASS,Polymyxins
2018,United Arab Emirates,ARE,E. coli,BLOOD,CRO,Ceftriaxone,909,209,109,0,100,700,52.15,45.4,58.83,0,0,1.8,47.85,41.17,54.6,77.01,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,E. coli,BLOOD,CTX,Cefotaxime,909,584,301,3,280,325,51.54,47.49,55.57,0.51,0.17,1.5,47.95,43.92,52,35.75,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,E. coli,BLOOD,ETP,Ertapenem,909,391,380,1,10,518,97.19,95.03,98.42,0.26,0.01,1.43,2.56,1.4,4.64,56.99,GLASS,Carbapenems
2018,United Arab Emirates,ARE,E. coli,BLOOD,FEP,Cefepime,909,607,433,61,113,302,71.33,67.61,74.79,10.05,7.9,12.7,18.62,15.72,21.91,33.22,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,E. coli,BLOOD,IPM,Imipenem,909,762,749,3,10,147,98.29,97.1,99,0.39,0.13,1.15,1.31,0.71,2.4,16.17,GLASS,Carbapenems
2018,United Arab Emirates,ARE,E. coli,BLOOD,LVX,Levofloxacin,909,41,21,0,20,868,51.22,36.48,65.75,0,0,8.57,48.78,34.25,63.52,95.49,GLASS,Fluoroquinolones
2018,United Arab Emirates,ARE,E. coli,BLOOD,MEM,Meropenem,909,787,774,2,11,122,98.35,97.19,99.03,0.25,0.07,0.92,1.4,0.78,2.49,13.42,GLASS,Carbapenems
2018,United Arab Emirates,ARE,E. coli,BLOOD,SXT,Co-trimoxazole,909,791,380,0,411,118,48.04,44.58,51.52,0,0,0.48,51.96,48.48,55.42,12.98,GLASS,Sulfonamides
2018,United Arab Emirates,ARE,E. coli,URINE,AMP,Ampicillin,17266,15083,5246,160,9677,2183,34.78,34.02,35.54,1.06,0.91,1.24,64.16,63.39,64.92,12.64,GLASS,Penicillins
2018,United Arab Emirates,ARE,E. coli,URINE,CAZ,Ceftazidime,17266,14764,11721,317,2726,2502,79.39,78.73,80.03,2.15,1.93,2.39,18.46,17.85,19.1,14.49,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,E. coli,URINE,CIP,Ciprofloxacin,17266,15063,8474,801,5788,2203,56.26,55.46,57.05,5.32,4.97,5.69,38.43,37.65,39.2,12.76,GLASS,Fluoroquinolones
2018,United Arab Emirates,ARE,E. coli,URINE,COL,Colistin,17266,1836,1793,5,38,15430,97.66,96.86,98.26,0.27,0.12,0.64,2.07,1.51,2.83,89.37,GLASS,Polymyxins
2018,United Arab Emirates,ARE,E. coli,URINE,CRO,Ceftriaxone,17266,6649,4628,13,2008,10617,69.6,68.49,70.7,0.2,0.11,0.33,30.2,29.11,31.31,61.49,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,E. coli,URINE,CTX,Cefotaxime,17266,8280,5355,56,2869,8986,64.67,63.64,65.7,0.68,0.52,0.88,34.65,33.63,35.68,52.04,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,E. coli,URINE,ETP,Ertapenem,17266,8035,7884,16,135,9231,98.12,97.8,98.4,0.2,0.12,0.32,1.68,1.42,1.99,53.46,GLASS,Carbapenems
2018,United Arab Emirates,ARE,E. coli,URINE,FEP,Cefepime,17266,12251,9852,743,1656,5015,80.42,79.71,81.11,6.06,5.66,6.5,13.52,12.92,14.13,29.05,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,E. coli,URINE,IPM,Imipenem,17266,14071,13910,88,73,3195,98.86,98.67,99.02,0.63,0.51,0.77,0.52,0.41,0.65,18.5,GLASS,Carbapenems
2018,United Arab Emirates,ARE,E. coli,URINE,LVX,Levofloxacin,17266,2986,2121,1,864,14280,71.03,69.38,72.63,0.03,0,0.19,28.94,27.34,30.59,82.71,GLASS,Fluoroquinolones
2018,United Arab Emirates,ARE,E. coli,URINE,MEM,Meropenem,17266,14727,14583,30,114,2539,99.02,98.85,99.17,0.2,0.14,0.29,0.77,0.64,0.93,14.71,GLASS,Carbapenems
2018,United Arab Emirates,ARE,E. coli,URINE,SXT,Co-trimoxazole,17266,15056,8849,0,6207,2210,58.77,57.99,59.56,0,0,0.03,41.23,40.44,42.01,12.8,GLASS,Sulfonamides
2018,United Arab Emirates,ARE,K. pneumoniae,BLOOD,CAZ,Ceftazidime,666,560,366,29,165,106,65.36,61.32,69.18,5.18,3.63,7.34,29.46,25.84,33.37,15.92,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,K. pneumoniae,BLOOD,CIP,Ciprofloxacin,666,567,307,26,234,99,54.14,50.03,58.2,4.59,3.15,6.63,41.27,37.29,45.37,14.86,GLASS,Fluoroquinolones
2018,United Arab Emirates,ARE,K. pneumoniae,BLOOD,CRO,Ceftriaxone,666,150,70,0,80,516,46.67,38.87,54.63,0,0,2.5,53.33,45.37,61.13,77.48,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,K. pneumoniae,BLOOD,CTX,Cefotaxime,666,418,278,4,136,248,66.51,61.85,70.86,0.96,0.37,2.43,32.54,28.22,37.17,37.24,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,K. pneumoniae,BLOOD,ETP,Ertapenem,666,262,231,0,31,404,88.17,83.69,91.54,0,0,1.45,11.83,8.46,16.31,60.66,GLASS,Carbapenems
2018,United Arab Emirates,ARE,K. pneumoniae,BLOOD,FEP,Cefepime,666,428,311,17,100,238,72.66,68.25,76.67,3.97,2.49,6.27,23.36,19.6,27.6,35.74,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,K. pneumoniae,BLOOD,IPM,Imipenem,666,545,477,21,47,121,87.52,84.48,90.04,3.85,2.53,5.82,8.62,6.55,11.28,18.17,GLASS,Carbapenems
2018,United Arab Emirates,ARE,K. pneumoniae,BLOOD,LVX,Levofloxacin,666,17,10,0,7,649,58.82,36.01,78.39,0,0,18.43,41.18,21.61,63.99,97.45,GLASS,Fluoroquinolones
2018,United Arab Emirates,ARE,K. pneumoniae,BLOOD,MEM,Meropenem,666,563,489,3,71,103,86.86,83.81,89.4,0.53,0.18,1.55,12.61,10.12,15.61,15.47,GLASS,Carbapenems
2018,United Arab Emirates,ARE,K. pneumoniae,BLOOD,SXT,Co-trimoxazole,666,564,349,0,215,102,61.88,57.8,65.79,0,0,0.68,38.12,34.21,42.2,15.32,GLASS,Sulfonamides
2018,United Arab Emirates,ARE,K. pneumoniae,URINE,CAZ,Ceftazidime,5065,4355,3172,163,1020,710,72.84,71.5,74.14,3.74,3.22,4.35,23.42,22.19,24.7,14.02,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,K. pneumoniae,URINE,CIP,Ciprofloxacin,5065,4443,2897,226,1320,622,65.2,63.79,66.59,5.09,4.48,5.77,29.71,28.38,31.07,12.28,GLASS,Fluoroquinolones
2018,United Arab Emirates,ARE,K. pneumoniae,URINE,COL,Colistin,5065,453,439,1,13,4612,96.91,94.88,98.15,0.22,0.01,1.24,2.87,1.68,4.85,91.06,GLASS,Polymyxins
2018,United Arab Emirates,ARE,K. pneumoniae,URINE,CRO,Ceftriaxone,5065,1829,1264,3,562,3236,69.11,66.95,71.18,0.16,0.06,0.48,30.73,28.66,32.88,63.89,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,K. pneumoniae,URINE,CTX,Cefotaxime,5065,2568,1737,24,807,2497,67.64,65.81,69.42,0.93,0.63,1.39,31.43,29.66,33.25,49.3,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,K. pneumoniae,URINE,ETP,Ertapenem,5065,2381,2188,17,176,2684,91.89,90.73,92.92,0.71,0.45,1.14,7.39,6.41,8.51,52.99,GLASS,Carbapenems
2018,United Arab Emirates,ARE,K. pneumoniae,URINE,FEP,Cefepime,5065,3641,2895,152,594,1424,79.51,78.17,80.79,4.17,3.57,4.87,16.31,15.15,17.55,28.11,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,K. pneumoniae,URINE,IPM,Imipenem,5065,4050,3753,79,218,1015,92.67,91.82,93.43,1.95,1.57,2.42,5.38,4.73,6.12,20.04,GLASS,Carbapenems
2018,United Arab Emirates,ARE,K. pneumoniae,URINE,LVX,Levofloxacin,5065,662,575,1,86,4403,86.86,84.07,89.22,0.15,0.01,0.85,12.99,10.64,15.77,86.93,GLASS,Fluoroquinolones
2018,United Arab Emirates,ARE,K. pneumoniae,URINE,MEM,Meropenem,5065,4336,4036,29,271,729,93.08,92.29,93.8,0.67,0.47,0.96,6.25,5.57,7.01,14.39,GLASS,Carbapenems
2018,United Arab Emirates,ARE,K. pneumoniae,URINE,SXT,Co-trimoxazole,5065,4442,3093,0,1349,623,69.63,68.26,70.97,0,0,0.09,30.37,29.03,31.74,12.3,GLASS,Sulfonamides
2018,United Arab Emirates,ARE,N. gonorrhoeae,GENITAL,AZM,Azithromycin,146,10,10,0,0,136,100,72.25,100,0,0,27.75,0,0,27.75,93.15,GLASS,Macrolides
2018,United Arab Emirates,ARE,S. aureus,BLOOD,FOX,Cefoxitin,500,38,29,0,9,462,76.32,60.79,87.01,0,0,9.18,23.68,12.99,39.21,92.4,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,S. aureus,BLOOD,OXA,Oxacillin,500,447,324,0,123,53,72.48,68.16,76.42,0,0,0.85,27.52,23.58,31.84,10.6,GLASS,Penicillins
2018,United Arab Emirates,ARE,S. pneumoniae,BLOOD,CRO,Ceftriaxone,135,72,62,10,0,63,86.11,76.29,92.28,13.89,7.72,23.71,0,0,5.07,46.67,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,S. pneumoniae,BLOOD,CTX,Cefotaxime,135,41,33,7,1,94,80.49,65.99,89.77,17.07,8.53,31.26,2.44,0.13,12.6,69.63,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,S. pneumoniae,BLOOD,PEN,Penicillin G,135,67,41,0,26,68,61.19,49.22,71.95,0,0,5.42,38.81,28.05,50.78,50.37,GLASS,Penicillins
2018,United Arab Emirates,ARE,S. pneumoniae,BLOOD,SXT,Co-trimoxazole,135,84,47,17,20,51,55.95,45.31,66.08,20.24,13.04,30.04,23.81,15.97,33.94,37.78,GLASS,Sulfonamides
2018,United Arab Emirates,ARE,Salmonella spp.,BLOOD,CAZ,Ceftazidime,129,106,94,1,11,23,88.68,81.25,93.4,0.94,0.05,5.15,10.38,5.89,17.63,17.83,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,Salmonella spp.,BLOOD,CIP,Ciprofloxacin,129,92,38,18,36,37,41.3,31.79,51.52,19.57,12.75,28.82,39.13,29.79,49.35,28.68,GLASS,Fluoroquinolones
2018,United Arab Emirates,ARE,Salmonella spp.,BLOOD,CRO,Ceftriaxone,129,46,38,0,8,83,82.61,69.28,90.91,0,0,7.71,17.39,9.09,30.72,64.34,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,Salmonella spp.,BLOOD,CTX,Cefotaxime,129,67,63,0,4,62,94.03,85.63,97.65,0,0,5.42,5.97,2.35,14.37,48.06,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,Salmonella spp.,BLOOD,ETP,Ertapenem,129,55,54,0,1,74,98.18,90.39,99.91,0,0,6.53,1.82,0.09,9.61,57.36,GLASS,Carbapenems
2018,United Arab Emirates,ARE,Salmonella spp.,BLOOD,IPM,Imipenem,129,104,104,0,0,25,100,96.44,100,0,0,3.56,0,0,3.56,19.38,GLASS,Carbapenems
2018,United Arab Emirates,ARE,Salmonella spp.,BLOOD,LVX,Levofloxacin,129,22,15,4,3,107,68.18,47.32,83.64,18.18,7.31,38.52,13.64,4.75,33.33,82.95,GLASS,Fluoroquinolones
2018,United Arab Emirates,ARE,Salmonella spp.,BLOOD,MEM,Meropenem,129,106,106,0,0,23,100,96.5,100,0,0,3.5,0,0,3.5,17.83,GLASS,Carbapenems
2018,United Arab Emirates,ARE,Salmonella spp.,STOOL,CAZ,Ceftazidime,696,445,429,1,15,251,96.4,94.24,97.77,0.22,0.01,1.26,3.37,2.05,5.49,36.06,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,Salmonella spp.,STOOL,CIP,Ciprofloxacin,696,305,239,29,37,391,78.36,73.4,82.61,9.51,6.7,13.32,12.13,8.93,16.27,56.18,GLASS,Fluoroquinolones
2018,United Arab Emirates,ARE,Salmonella spp.,STOOL,CRO,Ceftriaxone,696,240,228,1,11,456,95,91.47,97.12,0.42,0.02,2.32,4.58,2.58,8.02,65.52,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,Salmonella spp.,STOOL,CTX,Cefotaxime,696,245,235,0,10,451,95.92,92.65,97.77,0,0,1.54,4.08,2.23,7.35,64.8,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,Salmonella spp.,STOOL,ETP,Ertapenem,696,230,230,0,0,466,100,98.36,100,0,0,1.64,0,0,1.64,66.95,GLASS,Carbapenems
2018,United Arab Emirates,ARE,Salmonella spp.,STOOL,IPM,Imipenem,696,443,442,1,0,253,99.77,98.73,99.99,0.23,0.01,1.27,0,0,0.86,36.35,GLASS,Carbapenems
2018,United Arab Emirates,ARE,Salmonella spp.,STOOL,LVX,Levofloxacin,696,73,58,7,8,623,79.45,68.83,87.13,9.59,4.72,18.5,10.96,5.66,20.16,89.51,GLASS,Fluoroquinolones
2018,United Arab Emirates,ARE,Salmonella spp.,STOOL,MEM,Meropenem,696,446,446,0,0,250,100,99.15,100,0,0,0.85,0,0,0.85,35.92,GLASS,Carbapenems
2018,United Arab Emirates,ARE,Shigella spp.,STOOL,CAZ,Ceftazidime,122,75,71,2,2,47,94.67,87.07,97.91,2.67,0.73,9.21,2.67,0.73,9.21,38.52,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,Shigella spp.,STOOL,CIP,Ciprofloxacin,122,86,49,2,35,36,56.98,46.44,66.92,2.33,0.64,8.09,40.7,30.93,51.26,29.51,GLASS,Fluoroquinolones
2018,United Arab Emirates,ARE,Shigella spp.,STOOL,CRO,Ceftriaxone,122,44,29,0,15,78,65.91,51.14,78.12,0,0,8.03,34.09,21.88,48.86,63.93,GLASS,Cephalosporins
2018,United Arab Emirates,ARE,Shigella spp.,STOOL,CTX,Cefotaxime,122,33,22,1,10,89,66.67,49.61,80.25,3.03,0.16,15.32,30.3,17.38,47.34,72.95,GLASS,Cephalosporins
2018,Argentina,ARG,Acinetobacter spp.,BLOOD,AMK,Amikacin,392,347,242,27,78,45,69.74,64.71,74.34,7.78,5.4,11.08,22.48,18.4,27.16,11.48,GLASS,Aminoglycosides
2018,Argentina,ARG,Acinetobacter spp.,BLOOD,COL,Colistin,392,352,336,7,9,40,95.45,92.74,97.18,1.99,0.97,4.05,2.56,1.35,4.79,10.2,GLASS,Polymyxins
2018,Argentina,ARG,Acinetobacter spp.,BLOOD,GEN,Gentamicin,392,368,129,18,221,24,35.05,30.36,40.06,4.89,3.12,7.6,60.05,54.97,64.93,6.12,GLASS,Aminoglycosides
2018,Argentina,ARG,Acinetobacter spp.,BLOOD,IPM,Imipenem,392,372,89,2,281,20,23.92,19.87,28.51,0.54,0.15,1.94,75.54,70.92,79.63,5.1,GLASS,Carbapenems
2018,Argentina,ARG,Acinetobacter spp.,BLOOD,MEM,Meropenem,392,375,90,2,283,17,24,19.95,28.57,0.53,0.15,1.92,75.47,70.87,79.55,4.34,GLASS,Carbapenems
2018,Argentina,ARG,Acinetobacter spp.,BLOOD,MNO,Minocycline,392,226,199,17,10,166,88.05,83.18,91.66,7.52,4.75,11.71,4.42,2.42,7.95,42.35,GLASS,Tetracyclines
2018,Argentina,ARG,E. coli,BLOOD,AMP,Ampicillin,2242,2057,530,19,1508,185,25.77,23.92,27.7,0.92,0.59,1.44,73.31,71.36,75.18,8.25,GLASS,Penicillins
2018,Argentina,ARG,E. coli,BLOOD,CAZ,Ceftazidime,2242,2116,1742,10,364,126,82.33,80.64,83.89,0.47,0.26,0.87,17.2,15.65,18.87,5.62,GLASS,Cephalosporins
2018,Argentina,ARG,E. coli,BLOOD,CIP,Ciprofloxacin,2242,2107,1386,19,702,135,65.78,63.73,67.78,0.9,0.58,1.4,33.32,31.34,35.36,6.02,GLASS,Fluoroquinolones
2018,Argentina,ARG,E. coli,BLOOD,COL,Colistin,2242,1968,1949,0,19,274,99.03,98.5,99.38,0,0,0.19,0.97,0.62,1.5,12.22,GLASS,Polymyxins
2018,Argentina,ARG,E. coli,BLOOD,CTX,Cefotaxime,2242,1471,1171,4,296,771,79.61,77.47,81.59,0.27,0.11,0.7,20.12,18.15,22.25,34.39,GLASS,Cephalosporins
2018,Argentina,ARG,E. coli,BLOOD,ETP,Ertapenem,2242,1711,1694,5,12,531,99.01,98.41,99.38,0.29,0.12,0.68,0.7,0.4,1.22,23.68,GLASS,Carbapenems
2018,Argentina,ARG,E. coli,BLOOD,FEP,Cefepime,2242,1991,1646,13,332,251,82.67,80.95,84.27,0.65,0.38,1.11,16.68,15.1,18.38,11.2,GLASS,Cephalosporins
2018,Argentina,ARG,E. coli,BLOOD,IPM,Imipenem,2242,2097,2085,8,4,145,99.43,99,99.67,0.38,0.19,0.75,0.19,0.07,0.49,6.47,GLASS,Carbapenems
2018,Argentina,ARG,E. coli,BLOOD,MEM,Meropenem,2242,2111,2100,4,7,131,99.48,99.07,99.71,0.19,0.07,0.49,0.33,0.16,0.68,5.84,GLASS,Carbapenems
2018,Argentina,ARG,E. coli,BLOOD,SXT,Co-trimoxazole,2242,2061,1068,2,991,181,51.82,49.66,53.97,0.1,0.03,0.35,48.08,45.93,50.24,8.07,GLASS,Sulfonamides
2018,Argentina,ARG,E. coli,URINE,AMP,Ampicillin,39688,36890,12523,672,23695,2798,33.95,33.47,34.43,1.82,1.69,1.96,64.23,63.74,64.72,7.05,GLASS,Penicillins
2018,Argentina,ARG,E. coli,URINE,CAZ,Ceftazidime,39688,24787,21699,132,2956,14901,87.54,87.12,87.95,0.53,0.45,0.63,11.93,11.53,12.33,37.55,GLASS,Cephalosporins
2018,Argentina,ARG,E. coli,URINE,CIP,Ciprofloxacin,39688,37341,28737,270,8334,2347,76.96,76.53,77.38,0.72,0.64,0.81,22.32,21.9,22.74,5.91,GLASS,Fluoroquinolones
2018,Argentina,ARG,E. coli,URINE,COL,Colistin,39688,26608,26447,0,161,13080,99.39,99.29,99.48,0,0,0.01,0.61,0.52,0.71,32.96,GLASS,Polymyxins
2018,Argentina,ARG,E. coli,URINE,CTX,Cefotaxime,39688,19252,16440,62,2750,20436,85.39,84.89,85.89,0.32,0.25,0.41,14.28,13.8,14.79,51.49,GLASS,Cephalosporins
2018,Argentina,ARG,E. coli,URINE,FEP,Cefepime,39688,22858,20187,137,2534,16830,88.31,87.89,88.72,0.6,0.51,0.71,11.09,10.69,11.5,42.41,GLASS,Cephalosporins
2018,Argentina,ARG,E. coli,URINE,IPM,Imipenem,39688,23434,23371,33,30,16254,99.73,99.66,99.79,0.14,0.1,0.2,0.13,0.09,0.18,40.95,GLASS,Carbapenems
2018,Argentina,ARG,E. coli,URINE,MEM,Meropenem,39688,23408,23336,22,50,16280,99.69,99.61,99.76,0.09,0.06,0.14,0.21,0.16,0.28,41.02,GLASS,Carbapenems
2018,Argentina,ARG,E. coli,URINE,SXT,Co-trimoxazole,39688,36896,21875,102,14919,2792,59.29,58.79,59.79,0.28,0.23,0.34,40.44,39.94,40.94,7.03,GLASS,Sulfonamides
2018,Argentina,ARG,K. pneumoniae,BLOOD,CAZ,Ceftazidime,1602,1508,662,15,831,94,43.9,41.41,46.42,0.99,0.6,1.63,55.11,52.59,57.6,5.87,GLASS,Cephalosporins
2018,Argentina,ARG,K. pneumoniae,BLOOD,CIP,Ciprofloxacin,1602,1501,769,130,602,101,51.23,48.7,53.75,8.66,7.34,10.19,40.11,37.66,42.61,6.3,GLASS,Fluoroquinolones
2018,Argentina,ARG,K. pneumoniae,BLOOD,COL,Colistin,1602,1457,1322,0,135,145,90.73,89.14,92.12,0,0,0.26,9.27,7.88,10.86,9.05,GLASS,Polymyxins
2018,Argentina,ARG,K. pneumoniae,BLOOD,ETP,Ertapenem,1602,1213,888,50,275,389,73.21,70.64,75.62,4.12,3.14,5.39,22.67,20.4,25.11,24.28,GLASS,Carbapenems
2018,Argentina,ARG,K. pneumoniae,BLOOD,FEP,Cefepime,1602,1450,666,53,731,152,45.93,43.38,48.5,3.66,2.81,4.75,50.41,47.84,52.98,9.49,GLASS,Cephalosporins
2018,Argentina,ARG,K. pneumoniae,BLOOD,IPM,Imipenem,1602,1517,1191,26,300,85,78.51,76.37,80.5,1.71,1.17,2.5,19.78,17.85,21.86,5.31,GLASS,Carbapenems
2018,Argentina,ARG,K. pneumoniae,BLOOD,MEM,Meropenem,1602,1525,1205,17,303,77,79.02,76.9,80.99,1.11,0.7,1.78,19.87,17.94,21.95,4.81,GLASS,Carbapenems
2018,Argentina,ARG,K. pneumoniae,BLOOD,SXT,Co-trimoxazole,1602,1472,704,2,766,130,47.83,45.28,50.38,0.14,0.04,0.49,52.04,49.48,54.58,8.11,GLASS,Sulfonamides
2018,Argentina,ARG,K. pneumoniae,URINE,CAZ,Ceftazidime,4865,3855,1960,35,1860,1010,50.84,49.26,52.42,0.91,0.65,1.26,48.25,46.67,49.83,20.76,GLASS,Cephalosporins
2018,Argentina,ARG,K. pneumoniae,URINE,CIP,Ciprofloxacin,4865,4557,2619,263,1675,308,57.47,56.03,58.9,5.77,5.13,6.49,36.76,35.37,38.17,6.33,GLASS,Fluoroquinolones
2018,Argentina,ARG,K. pneumoniae,URINE,COL,Colistin,4865,3714,3541,0,173,1151,95.34,94.62,95.97,0,0,0.1,4.66,4.03,5.38,23.66,GLASS,Polymyxins
2018,Argentina,ARG,K. pneumoniae,URINE,CTX,Cefotaxime,4865,2910,1380,17,1513,1955,47.42,45.61,49.24,0.58,0.37,0.93,51.99,50.18,53.8,40.18,GLASS,Cephalosporins
2018,Argentina,ARG,K. pneumoniae,URINE,FEP,Cefepime,4865,3593,1877,84,1632,1272,52.24,50.61,53.87,2.34,1.89,2.89,45.42,43.8,47.05,26.15,GLASS,Cephalosporins
2018,Argentina,ARG,K. pneumoniae,URINE,IPM,Imipenem,4865,3808,3333,58,417,1057,87.53,86.44,88.54,1.52,1.18,1.96,10.95,10,11.98,21.73,GLASS,Carbapenems
2018,Argentina,ARG,K. pneumoniae,URINE,MEM,Meropenem,4865,3809,3339,35,435,1056,87.66,86.58,88.67,0.92,0.66,1.28,11.42,10.45,12.47,21.71,GLASS,Carbapenems
2018,Argentina,ARG,K. pneumoniae,URINE,SXT,Co-trimoxazole,4865,4483,2496,39,1948,382,55.68,54.22,57.13,0.87,0.64,1.19,43.45,42.01,44.91,7.85,GLASS,Sulfonamides
2018,Argentina,ARG,S. aureus,BLOOD,FOX,Cefoxitin,2588,1582,909,0,673,1006,57.46,55.01,59.87,0,0,0.24,42.54,40.13,44.99,38.87,GLASS,Cephalosporins
2018,Argentina,ARG,S. aureus,BLOOD,OXA,Oxacillin,2588,1877,1027,0,850,711,54.71,52.46,56.95,0,0,0.2,45.29,43.05,47.54,27.47,GLASS,Penicillins
2018,Argentina,ARG,S. pneumoniae,BLOOD,CTX,Cefotaxime,513,215,208,6,1,298,96.74,93.43,98.41,2.79,1.29,5.95,0.47,0.02,2.59,58.09,GLASS,Cephalosporins
